"판시사항","근로감독관이 특별사법경찰관으로서 중대재해와 관련한 산업안전보건법 위반 내지 근로기준법 위반을 수사하는 절차가 형사소송법 등에 따른 절차인지 여부"
"이유","조사 결과 산업안전보건법 위반사항을 확인한 경우에는 범죄인지보고를 하고 수사에 착수하거나 과태료 부과 등의 조치를 하여야 한다고 규정하고 있다."
"이유","한편 근로기준법 제104조 제1항은 ‘사업 또는 사업장에서 근로기준법 또는 근로기준법에 따른 대통령령을 위반한 사실이 있으면 근로자가 고용노동부장관이나 근로감독관에게 이를 통보할 수 있다.’고 규정하고 있다."
"이유","같은 법 제102조 제1항은 ‘근로감독관은 사업장, 기숙사, 그 밖의 부속 건물을 현장조사하고 장부와 서류의 제출을 요구할 수 있으며 사용자와 근로자에 대하여 심문할 수 있다.’고 규정하고 있다."
"이유","아울러 근로감독관과 같이 사법경찰직무법에 따라 사법경찰관의 직무를 행하는 특별사법경찰관은 구 「특별사법경찰관리 집무규칙」에서 정한 범죄수사에 관한 집무상의 준칙도 준수하여야 한다."
"이유","위와 같은 규정들을 종합하여 보면, 중대재해가 발생하여 근로감독관이 그 발생원인 등을 조사하는 것은 산업안전보건법 및 그 하위법령에 따른 절차이다."
"이유","여기서 노동 관계 법령이란 근로기준법, 산업안전보건법, 「노동조합 및 노동관계조정법」 등 구 공인노무사법 시행령제2조 [별표 1]에 열거된 법률과 그 법률에 근거한 하위법령을 의미하므로, 그에 규정되지 아니한 형사소송법 등은 노동 관계 법령에 해당하지 아니한다."
"이유","범죄일람표 순번 24, 27, 28, 66번을 제외한 나머지 부분의 공소사실을 보면, 검사는 ‘피고인 등이 형사사건 처리절차, 적용법령, 산업안전보건법 주요판례, 참고인진술조서 예시문, 특별사법경찰관 작성의 수사결과보고서, 피의자신문조서, 검사 및 변호사 프로필, 노동청 참고인 진술 내용 등을 기초로 의뢰인에게 법률상담하였다.’는 취지로 기소하였다."
"이유","피고인 등이 검사 및 변호사 프로필을 기초로 담당 검사와 특정 변호사의 관계 등에 관하여 상담을 하였다면 이러한 상담은 그 자체로 노동 관계 법령에 관한 상담으로 볼 수 없다."
"이유","원심의 이러한 판단에는 공인노무사의 직무 범위에 관한 법리를 오해하여 필요한 심리를 다하지 아니한 잘못이 있다."
"이유","구 공인노무사법 제2조 제1항 제1호는 공인노무사가 ‘노동 관계 법령에 따라 관계 기관에 대하여 행하는 신고·신청·보고·진술·청구 및 권리 구제 등’을 대행 또는 대리할 수 있다고 규정하고 있다."
"이유","여기서 ‘노동 관계 법령에 따라 관계 기관에 대하여 행하는 신고 등’이란 그 문언상 ‘노동 관계 법령에 근거하여 관계 기관에 대하여 행하는 신고 등’을 의미한다."
"이유","구 공인노무사법 제2조 제1항 제2호는 ‘노동 관계 법령에 따른 모든 서류’를 공인노무사가 작성할 수 있다고 규정하고 있는데, 제2호에서 정한 서류도 제1호와 마찬가지로 노동 관계 법령에 근거가 있을 것을 요구한다고 보아야 한다."
"이유","범죄일람표 중 순번 44, 54, 56, 61, 62, 72, 75번 부분을 제외한 나머지 부분의 공소사실을 보면, 검사는 ‘피고인 등이 의뢰인에게 법률 관계 문서인 산업안전보건법 의견서를 작성해 주었다.’는 취지로 기소하였다."
"이유","그럼에도 원심은 피고인 등이 산업안전보건법 위반 사건에 대하여 이 사건 각 의견서를 작성한 이상 이 사건 각 의견서가 구 공인노무사법 제2조 제1항 제2호에서 정한 서류에 해당한다고 단정하고 위 사항들에 대하여 심리·판단하지 아니한 채 이 부분 공소사실에 대하여 무죄를 인정하였다."
"이유","원심의 이러한 판단에는 공인노무사의 직무 범위에 관한 법리를 오해하여 필요한 심리를 다하지 아니한 잘못이 있다."
"이유","그러므로 원심판결 중 무죄 부분을 파기하고, 이 부분 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
