"판시사항","자백의 임의성을 의심할 만한 상당한 이유가 있는 검사 작성의 피의자신문조서의 증거능력 및 그 임의성에 대한 입증책임의 소재."
"이유","같은 날 17:00경 구속영장이 집행되어 20:00경 서울구치소에 수감된 사실, 위 피고인은 처음 진술서 작성시에는 금 5,000만 원 뇌물요구 부분에 관하여는 아무런 언급이 없었는데, 검사 작성의 피고인에 대한 제1회 피의자신문조서에는 공소외 1에게 이를 빌려달라고 하였으나 거절당하였다."
"이유","독일에서 같은 달 11. 17:00경 비행기를 타고 독일을 출발하여 그 다음날 김포공항에 도착하고 피고인의 연락으로 대기하고 있던 수사관들에게 임의동행되어 그 날 14:00경 검찰청사에 도착한 뒤 자수서를 제출한다."
"이유","이어 진술서를 작성하고, 제1회 피의자신문조서를 작성한 다음, 같은 달 13. 11:00경 긴급체포되고, 그 다음날 10:00경 영장실질심사를 거쳐 구속영장이 발부된다."
"이유","그 날 23:00경 구속영장이 집행되어 서울구치소에 수감된 사실, 피고인은 1998. 2. 12. 제1회 피의자신문조서 작성시 공소외 1 등으로부터 받은 병풍 등은 직무와 관련 없이 선물로 받은 것이다."
"이유","1998. 2. 13. 제2회 피의자신문조서 작성 당시에는 그 날 피고인의 집을 수색하면서 나온 미화 49,000불을 공소외 3으로부터 받은 사실을 부인한다."
"이유","해외 여행시 사용하고 남은 외화를 모아 놓은 것이라고 하다가, 같은 달 14. 제3회 피의자신문조서 작성 당시에는 공소외 3으로부터 미화 50,000불과 각 미화 10,000불씩 2회에 걸쳐 수령한 사실을 자백한다."
"이유","같은 날 제4회 피의자신문조서 작성 당시에는 공소외 1로부터 받은 금 5,000만 원은 나중에 상황 보아가며 판단하여 보자고 하여 보관하고 있었다."
"이유","피고인이 여러 차례에 걸친 연락 끝에 겨우 같은 달 14.경 공소외 4에게 연락이 되어 같은 달 16. 위 금원을 공소외 4에게 반환하게 된 것이라고 진술하고 있는 사실 등을 알 수 있다."
"이유","볼펜으로 옆구리를 찌르는 등 폭언과 폭행을 하면서 외부와 연락을 하지 못하게 한 채 계속하여 신문을 하여 피고인이 심신이 지칠대로 지쳐 자포자기의 상태에서 허위로 진술하였던 것이다."
"이유","피고인 1은 검사 작성의 피고인에 대한 각 피의자신문조서에 대하여, 독일에서 12시간 이상 비행기를 타고 온 피고인을 검찰에서 48시간 이상 잠을 재우지 않고 욕설과 폭언을 하면서 밤샘조사를 한다."
"이유","그 과정에서 피고인이 코피를 흘리는 등 체력이 극도로 소진되어 의식조차 혼미한 상태에서 일부 수사관의 강압에 의하여 억지로 진술하였던 것이므로 임의성이 없다고 주장하고 있다."
"이유","피고인들의 검찰에서의 자백이 그들 주장대로 잠을 재우지 아니한 상태에서 폭언과 강요 속에 신문을 계속한 것이 사실이라면, 그 자백은 임의로 진술한 것이 아니라고 의심할 만한 상당한 이유가 있다."
"이유","이와 같은 경우 피고인들이 임의출석하여 조사를 받았다고 하더라도 검찰청사에 머무르면서 조사를 받았으나 필요한 수면을 취하였다는 등 그 임의성의 의문점을 해소하는 입증은 이를 검사가 하여야 할 것인 바이다."
"이유","따라서 피고인들이 검찰에서 행한 각 진술이 이 사건에서 문제가 되고 있는 철야조사 및 폭언과 강요 등이 있어 그 때문인지 여부를 심리·판단하지 아니하고는 결국 유죄의 증거로 삼을 수 없다고 할 것이다."
"이유","뒤에서 보는 바와 같이 그 나머지 증거들에 의하여도 피고인들에 대한 판시 각 범죄사실은 그 증명이 있다고 할 수 있으므로 결국 원심의 위와 같은 잘못은 판결 결과에 영향이 없다 할 것이다."
"이유","피고인 1과 그 국선변호인 변호인 OOO의 각 나머지 상고이유 및 변호인 OOO, OOO의 각 보충상고이유서의 기재 중 이를 보충하는 부분을 함께 판단한다."
"이유","병풍, 소파, 금원앙 수수 부분에 대하여 공무원의 직무와 관련하여 금품을 수수하였다면 그 수수한 금품은 뇌물이 되는 것이다."
"이유","이러한 점과 위 피고인은 1997. 4. 3. 재혼하였는데 6개월 이상 경과한 다음, 더구나 고가의 병풍 등을 선물한 뒤에 다시 고가의 금원앙을 선물한다는 것이 납득이 가지 아니하는 점이다."
"이유","위 피고인 및 공소외 1, 공소외 4의 사회적 지위, 재산상태, 위 물품들이 고가품이고 여러 차례에 걸쳐 이를 수수하였다는 사정 등에 비추어 보면 이를 단순한 사교적 의례의 범위에 속하는 것에 불과하다고 볼 수는 없다."
"이유","가사 피고인 1이 공소외 1, 공소외 4로부터 위 물품을 의례적인 결혼축하 및 인사명목으로 수수하였다 하더라도, 그들의 내심의 의사는 밖으로 드러난 명목과는 달리, 교수 신규채용과 관련하여 청탁한다는 명목으로 이를 수수한 것으로 볼만하다."
"이유","같은 취지의 원심 판단은 옳다고 여겨지고, 거기에 상고이유로 주장하는 뇌물의 대가성, 직무관련성에 관한 법리오해의 위법이 있다고 할 수 없다."
"이유","거기에 상고이유로 주장하는 채증법칙 위배로 인한 사실오인이나 뇌물수수에 관한 법리오해의 위법이 있다고 할 수 없다."
"이유","피고인 2과 변호인 OOO의 각 나머지 상고이유 및 변호인 OOO의 보충상고이유서의 기재 중 이를 보충하는 부분을 함께 판단한다."
"이유","뇌물죄에 있어서의 직무라 함은 공무원이 법령상 관장하는 직무 그 자체뿐만 아니라 그 직무와 밀접한 관계가 있는 행위 또는 관례상이나 사실상 소관하는 직무행위 및 결정권자를 보좌하거나 영향을 줄 수 있는 직무행위도 포함된다."
"이유","대학본부에서 총장이 위원장이 되고 부총장 등을 위원으로 하여 구성되는 위원회에서 단과대학 제출의 공채심사결과를 심사하여 본부 인사위원회 상정 여부를 최종 결정한다."
"이유","이를 기록에 비추어 살펴보면, 옳다고 여겨지고, 거기에 상고이유 주장과 같은 뇌물죄의 직무에 관한 법리오해의 위법이 있다고 할 수 없다."
"이유","피고인이 1997. 9. 하순경 공소외 4에게 ""돈이 필요하니 돈이 있으면 금 3,000만 원 정도 빌려달라.""고 요구하여 그 며칠 후 공소외 4로부터 차용금 명목으로 금 3,000만 원을 교부받은 사실, 그 당시 차용증서를 작성하지 않았다."
"이유","먼저 공소외 1로부터 수수한 금원 부분 등에 대하여는 피고인과 위 공소외 1과의 친교관계, 사회적 지위, 재산상태, 피고인이 돈을 빌려달라고 요청한 시기가 위와 같이 금 3,000만 원을 교부받은 직후이고 교수 신규임용을 둘러싸고 응모자들 사이에서 심한 경쟁이 벌어지고 있었던 시기인 점이다."
"이유","피고인이 빌려달라고 요구한 금액 등을 비추어 보면, 명목과는 달리 실제로는 피고인이 공소외 1에게 공소외 4이 교수로 채용되도록 도와주겠으니 그 대가로 금원을 달라고 요구한 것으로 보아야 할 것이다."
"이유","위 각 금원은 명목과 달리 실제로는 차용금이 아니고 교수 신규채용과 관련하여 도와달라 도와주겠다는 취지로 수수된 뇌물로 보아야 할 것이라고 판단하였는 바이다."
"이유","기록에 비추어 살펴보면, 원심의 그 사실인정과 판단은 수긍이 가고, 거기에 상고이유 주장과 같은 채증법칙 위배로 인한 사실오인 등의 위법이 있다고 할 수 없다."
"이유","이와 같이 피고인 2가 같은 증뢰자로부터 같은 이유 등으로 합계 금 2,100만 원을 뇌물로 받은 것은 단일하고 계속된 범의에 의하여 이루어진 것으로 보아야 하므로 이를 포괄일죄로 보아야 할 것이다."
"이유","원심이 같은 취지에서 피고인 2가 공소외 2으로부터 받은 뇌물을 포괄일죄의 관계에 있다고 본 제1심판결을 유지한 조치는 수긍이 가고, 거기에 상고이유 주장과 같은 뇌물죄의 죄수에 관한 법리오해의 위법이 있다고 할 수 없다."
"이유","수뢰자가 자기앞수표를 뇌물로 받아 이를 소비한 후 자기앞수표 상당액을 증뢰자에게 반환하였다 하더라도 뇌물 그 자체를 반환한 것은 아니므로 이를 몰수할 수 없고 수뢰자로부터 그 가액을 추징하여야 할 것이다."
"이유","피고인 1, 변호인 OOO의 상고이유와 피고인 2, 변호인 OOO의 상고이유 중 자수 여부에 대한 법리오해에 관하여 함께 판단한다."
"이유","피고인 2은 검찰에서 처음에는 공소외 1로부터 뇌물로 금 3,000만 원을 받은 부분은 시인하였으나 금 5,000만 원에 관하여는 뇌물을 요구한 것이 아니고 순수하게 돈을 빌려달라고 부탁한 것이라고 하여 혐의사실을 부인하였다."
"이유","공소외 2측으로부터 뇌물을 받은 혐의에 대하여는 이를 부인하였다가 그 후 공소외 2과 공소외 4가 금품을 교부하였다고 진술하자 비로소 금품수수 사실은 시인하였으나 그 중 금 600만 원 수수 부분에 대하여는 뇌물이 아니고 차용금이라고 다투었다."
"이유","같은 달 13. 피고인의 자택에 대한 압수수색에서 미화 49,000불이 발견된 이후에도 계속하여 공소외 2측으로부터의 금품수수 사실을 부인하다가, 같은 달 14. 비로소 공소외 4로부터 미화 70,000불을 뇌물로 수수한 것을 인정하였다."
"이유","법정에서는 공소사실 전부에 대하여 수수한 금액이나 영득의 의사 직무와의 관련성에 관하여 다투고 있는 사실을 인정한다."
"이유","따라서 피고인 2가 공소외 1로부터 금 3,000만 원을 수수하였다는 부분을 제외하고는 피고인들이 자수를 하였다고 인정할 수 없다고 판단하였는 바이다."
"이유","그러므로 피고인들의 상고를 모두 기각하고 상고 후의 각 구금일수 120일씩을 피고인들에 대한 각 본형에 산입하기로 관여 법관들의 의견이 일치되어 주문과 같이 판결한다."
