"판시사항","공직선거법 제112조 제1항에서 기부행위의 상대방이 되는 ‘당해 선거구 안에 있는 자’ 및 ‘선거구민과 연고가 있는 자’의 의미"
"이유","피고인 1이 비록 제20대 국회의원 선거에서 자신을 지지해달라고 호소하는 직접적인 발언을 한 것은 아니지만 △△ 일대에서 높은 인지도를 가진 기성 정치인으로서 그 지역에 위 피고인의 제20대 국회의원 선거 출마 준비소문이 널리 퍼진 상태였다."
"이유","참가자들은 대체로 ‘순수한 산악회가 아니라 정치적인 산악회라고 느꼈다’는 반응을 보였고, 참가자들 가운데 ‘사전선거운동이라는 느낌을 받았다’, ‘어차피 선거를 염두에 두고 있는 것 같았다’는 진술을 한 사람도 있다."
"이유","나아가 ○○산악회의 조직경위와 인적 구성, 참석자의 동원방식, 피고인 1의 인지도, ‘대화의 시간’ 등 행사의 구성방식, 질문자와 질문내용 선정의 작위성, 행사규모의 급격한 확대과정, 회비를 초과하여 제공된 경제적 이익의 내용과 아울러 행사의 사회자 또는 참석자가 직접 국회의원 선거를 언급하기도 한 점이다."
"이유","당시 △△ 선거관리위원회에서 산악회 행사를 알고 2015. 9. 산악회장인 피고인 2에게 관련 법규를 안내한 점이다."
"이유","그 밖에 행사에 참석한 사람들이 진술한 전반적인 내용 등 여러 사정들을 종합해 보면, 이는 통상적인 정치활동의 범주에서 벗어나 당선 또는 낙선을 도모하는 목적의사가 객관적으로 인정되는 행위로서 공직선거법상 ‘선거운동’을 위한 사조직 설치행위 또는 ‘선거운동’에 해당한다고 볼 수 있다."
"이유","피고인들이 선거일과 약 10개월에서 5개월까지 시간적 간격을 두고 위와 같은 행위를 하였다고 하더라도 위와 같은 결론에는 영향이 없다."
"이유","원심의 판단에 상고이유 주장과 같은 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나, 공직선거법상 금지되는 선거운동에 관한 법리오해, 판단누락 등의 잘못이 없다."
"이유","공직선거법이 이와 같이 기부행위의 상대방을 ‘당해 선거구’라는 개념을 통하여 특정하고 있는 이상 공직선거법 제112조 제1항의 기부행위는 행위 당시 유효하게 존재하는 선거구를 전제로 성립할 수 있다고 보아야 한다."
"이유","그런데 구 공직선거법 제25조 제2항은 “국회의원지역구의 명칭과 그 구역은 [별표 1]과 같이 한다.”라고 규정한 다음 [별표 1]에서 국회의원지역선거구구역표를 정하고 있다."
"이유","따라서 공직선거법 제112조 제1항에서 규정하고 있는 ‘당해 선거구’가 국회의원지역구를 가리키는 경우 그 선거구는 행위 당시 구 공직선거법 제25조 제2항 [별표 1] 국회의원지역선거구구역표에 규정되어 있는 선거구를 의미한다고 봄이 타당하다."
"이유","원심은, 피고인 1, 피고인 3, 피고인 6 등이 ○○산악회의 행사를 통해 재산상 이익을 제공할 당시에 ‘△△□□’의 국회의원지역선거구가 유효하게 존재하였음을 전제로, 당시 △△□□에 거주한 주민을 공직선거법 제112조 제1항에서 말하는 ‘당해 선거구 안에 있는 자’에 해당한다고 보아 기부행위의 상대방으로 인정하였다."
"이유","그 후 국회가 2016. 3. 3.에 이르러서야 법률 제14073호로 공직선거법을 개정하여 새로운 국회의원지역선거구구역표를 확정함에 따라 개정시한이 지난 2016. 1. 1.부터 2016. 3. 2.까지 기존의 국회의원지역선거구구역표가 효력을 상실하였다."
"이유","선거구구역표에 관한 위 구 공직선거법 제25조 제2항의 [별표 1] 자체가 기부행위를 금지하는 형벌에 관한 조항에 해당한다고 볼 수는 없으므로, 개정시한 이전의 선거구구역표까지 헌법불합치결정에 따라 소급하여 효력을 상실하는 것은 아니다."
"이유","선거구구역표가 효력을 상실한 기간에 이루어진 재산상 이익 등의 제공행위가 유효한 선거구가 존재하지 않는다는 이유로 공직선거법상의 기부행위가 될 수 없는 것은 별론으로 하더라도, 그 전에 있었던 위 피고인들의 행위는 유효한 선거구구역표가 존재하는 이상 공직선거법상 기부행위를 구성한다고 보아야 한다."
"이유","원심의 판단에 상고이유의 주장과 같이 형법 제1조 제2항의 적용범위, 구 공직선거법에서 정한 ‘당해 선거구’의 의미, 형벌규정에 대한 헌법불합치결정의 소급효에 관한 법리를 오해하는 등의 잘못이 없다."
"이유","원심은 ○○산악회의 설립준비과정 등의 사정들을 종합하여 피고인 9를 비롯한 피고인들이 ○○산악회를 설립하고 산악회 행사를 통하여 선거운동을 하는 데 적극적으로 공모·가담한 사실을 인정하였다."
"이유","또한 원심은 피고인 1, 피고인 3, 피고인 5, 피고인 6 등이 ○○산악회 행사에서 참석자들에게 회비를 초과하는 재산상 이익을 제공하는 기부행위를 하는 데 공모·가담한 사실을 인정하였다."
"이유","원심판결 이유를 관련 법리에 비추어 살펴보면, 이러한 원심의 판단에 상고이유 주장과 같이 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나 공모공동정범의 기능적 행위지배에 관한 법리를 오해하는 등의 잘못이 없다."
"이유","형사소송법 제383조 제4호에 따르면 사형, 무기 또는 10년 이상의 징역이나 금고가 선고된 사건에서만 양형부당을 이유로 상고할 수 있다."
"이유","따라서 피고인 5에 대하여 그보다 가벼운 형이 선고된 이 사건에서 형이 너무 무거워 부당하다는 주장은 적법한 상고이유가 아니다."
"이유","피고인 4, 피고인 5는 기부행위제한위반으로 인한 공직선거법위반 부분에 관해서도 상고하였으나, 상고이유서에 이 부분에 관한 상고이유를 기재하지 않았다."
"이유","기부행위의 상대방 공직선거법 제112조 제1항에서 기부행위의 상대방이 되는 ‘당해 선거구 안에 있는 자’에는 선거구 내에 주소나 거소를 갖는 사람은 물론 선거구 안에 일시적으로 머무르는 사람도 포함된다."
"이유"," ‘선거구민과 연고가 있는 자’는 연고를 맺게 된 사유와 상관없이 선거구민의 가족·친지·친구·직장동료·상하급자나 향우회·동창회·친목회 등 일정한 혈연적·인간적 관계를 가지고 있어 선거구민의 의사결정에 직접적 또는 간접적으로 어떠한 영향을 미칠 수 있는 가능성이 있는 사람을 말한다."
"이유","원심판결 이유를 위 법리에 비추어 보면 원심의 판단에 상고이유 주장과 같이 기부행위 상대방의 범위에 관한 법리를 오해한 잘못이 없다."
"이유","검사는 원심판결 중 ○○산악회 행사 중 실내에서 피고인 1의 발언 등을 녹취한 녹취록 등에 대하여 공직선거법 제272조의2 제6항을 위반하였다는 이유로 증거능력을 부정한 판단에 관하여도 법리오해 등 주장을 하였다."
"이유","그러나 위 증거와 관련이 있는 선거운동을 위한 사조직 설립, 사조직을 통한 선거운동과 사전선거운동으로 인한 공직선거법위반의 공소사실은 원심이 위 증거를 제외한 나머지 증거들만으로도 유죄로 인정하기에 충분하다고 판단하였다."
"이유","그렇다면 이 부분 상고이유 주장은 판결의 주문이 아니라 이유만을 다투기 위한 것으로 이러한 상소는 허용되지 않으므로, 이는 적법한 상고이유라고 볼 수 없어 받아들이지 않는다."
"이유","피고인들과 검사의 상고는 이유 없어 이를 모두 기각하기로 하여, 대법관의 일치된 의견으로 주문과 같이 판결한다."
