"판시사항","채권자가 정당하게 배당받을 채권 금액 이상을 배당받는 것으로 배당표가 작성된 경우, 채무자가 채권자를 상대로 채권자가 정당하게 배당받을 채권액의 확인을 구할 이익이 있는지 여부"
"이유","배당기일을 열어 채권자 및 채무자로부터 의견 진술을 들어 배당표를 확정한 후 그에 의하여 배당을 실시하게 되는 것이다."
"이유","만약 배당표에 기재된 다른 채권자의 채권 존재 여부 및 그 배당액에 관하여 불복이 있는 당사자는 배당기일에 이의를 진술할 수 있고, 그 경우 집행법원은 이의의 대상이 된 채권 중 이의가 있는 부분에 대한 배당을 정지한다."
"이유","나머지 이의가 없는 부분에 대하여만 배당을 실시하되, 이의를 제기한 채권자 또는 채무자는 배당기일로부터 7일 내에 배당이의의 소를 제기하여야 하고, 집행법원은 그 판결 결과에 따라 정지된 배당절차를 완결하게 되는 것이다."
"이유","또 그로서 충분하다고 할 것이므로, 원고의 이 사건 채무부존재확인의 소는 어느 모로 보나 확인의 이익이 없어 부적법하다고 할 것이다."
"이유","피고는 피고가 얻은 부당이득인 위 배당표 기재 금액과 정당한 배당금과의 차액에 대한 배당금 출급청구 채권을 원고에게 양도하라는 것으로서, 이는 원고가 배당이의 사건에서 청구원인으로 주장하는 내용과 동일한 것이라 할 것이다."
"이유","그런데 배당이의의 소와 부당이득반환 청구의 소의 상호 관계에 대하여 보면, 배당이의의 소의 본안 판결이 확정된 때에는 이의가 있었던 배당액에 관한 실체적 배당수령권의 존부의 판단에 기판력이 생긴다."
"이유","전소인 배당이의의 소의 본안 판결에서 판단된 배당수령권의 존부가 부당이득반환청구권의 성립 여부를 판단하는 데에 있어서 선결문제가 된다고 할 것이므로, 당사자는 그 배당수령권의 존부에 관하여 위 배당이의의 소의 본안 판결의 판단과 다른 주장을 할 수 없다."
"이유","법원도 이와 다른 판단을 할 수 없는 것인바, 그렇다면 이와 마찬가지로 배당이의의 소가 계속중일 때 부당이득반환의 소가 별소로 제기된 경우에도 두 사건 판결의 모순·저촉을 방지하기 위하여 후소는 중복제소에 해당하여 허용되지 아니한다 할 것이다."
"이유","이미 동일한 사건에 관하여 전소가 제기되었다면 설령 그 전소가 소송요건을 흠결하여 부적법하다고 할지라도 후소의 변론종결시까지 취하·각하 등에 의하여 소송 계속이 소멸되지 아니하는 한 후소는 여전히 중복제소금지에 위배된다고 할 것이므로, 어느 견해를 취하더라도 이 사건 부당이득반환의 소는 중복제소로서 부적법하다고 할 것이다."
"이유","그렇다면 원고가 환송 후 당심에서 교환적으로 변경한 이 사건 소는 모두 부적법하므로 이를 각하하고, 소송 총비용은 패소자인 원고의 부담으로 하여 주문과 같이 판결한다."
