"판시사항","사업지구 내에 개설예정인 폭 20미터 미만의 도시계획예정도로로 분리된 일단의 토지가 구 주택건설촉진법 시행령 제3조 소정의 ‘주택단지’에 해당하는지 여부"
"이유","사업지구 밖의 기간이 되는 시설로부터 그 사업지구 안의 가장 가까운 주택단지의 경계선까지의 전기간선시설은 전기를 공급하는 자가 부담한다.’고 규정함으로써, 비로소 사업지구 안의 가장 가까운 주택단지의 경계선으로부터 개별 주택단지까지의 지중설치비용을 지중설치를 요구한 사업주체와 피고가 반분하여 부담하는 것으로 입법화되었다."
"이유","이렇게 볼 때, 적어도 주택법 및 그 시행령의 위 각 개정 이전까지는 입법자가 전기간선시설의 설치의무에 관한 제반 규정은 통상적인 가설방법으로 지중설치의 경우까지 포함하여 그 비용 부담을 규정한 것으로 해석되지는 아니한다."
"이유","따라서 특별한 사정이 없는 한 주촉법 제36조 제1, 3항 및 주촉법 시행령 제35조 제1, 4항과 [별표 6]은 모두 통상적인 설치방법을 전제로 한 것으로 보아야 할 것인 바이다."
"이유","앞서 본 가공설치비용과 지중설치비용의 차이와 지중설치로 인한 혜택이 미치는 범위, 지중화 비용의 부담 범위, 이 사건 각 택지개발계획 승인·고시 당시까지 전국적인 지중화 비율이 10%에도 현저히 미치지 못하였던 점이다."
"이유","지중화 사업이 본격적으로 시행된 이후에도 가공설치된 기존 전력선의 지중화는 원칙적으로 이를 요구하는 자의 비용 부담으로 선별적으로 진행되어 온 점 등을 고려할 때, 비록 이 사건 택지개발계획 승인·고시 당시에 전력선의 지중화가 상당 정도 진행되기는 하였다."
"이유","위 주촉법 제36조 제1, 3항에서 예정하고 있는 통상적인 설치방법은, 가공설치가 기술적으로 불가능하거나 경제적으로 타당성이 없는 경우를 제외하고는 원칙적으로 가공설치를 의미하는 것으로 봄이 상당할 것이다."
"이유","따라서 원고가 공사비부담 약정에 의하여 피고에게 지급한 전기간선설치비용 중 지중설치비와 가공설치비의 차액은 강행법규인 주촉법 제36조 제1항, 제3항에 의하여 피고가 부담하여야 한다는 이유로 이 부분 원고의 본소청구를 받아들인 원심의 판단에는 주촉법 제36조 제1, 3항의 해석을 그르친 위법이 있다고 할 것이다."
"이유","앞서 본 바와 같이 이 사건 택지개발에 관하여 준용되는 개정 전 주촉법 시행령 제3조에 의하면, 주촉법 제33조의 규정에 의한 주택건설사업계획 또는 대지조성사업계획의 승인을 얻어 주택과 부대시설 및 복리시설을 건설하거나 대지를 조성하는 일단의 토지가 주택단지에 해당한다."
"이유","주촉법 제33조의 규정에 의한 주택건설사업계획 또는 대지조성사업계획에 포함된 ‘복리시설’을 건설하기 위하여 조성하는 일단의 토지도 주택단지에 포함된다."
"이유","그 토지가 철도 등 일정한 도로시설에 의하여 다른 토지들과 구분된다 하더라도 이는 개정 전 주촉법 시행령 제3조에서 규정한 주택단지로 취급되어야 한다."
"이유","즉, 택촉법 및 주촉법은 사업지구 내에 전체 택지개발지구의 효용 증진에 이바지하고 거주자의 생활복리를 도모하기 위하여 필요한 일정한 용도의 상업용지가 확보되는 것을 예정하고 있다."
"이유","개정 전 주촉법 시행령 제3조 단서는 택지개발지구 내에 철도 등 도로시설에 의하여 분리되는 일단의 토지를 별개의 주택단지로 취급하여 피고가 그에 이르는 간선시설의 설치의무를 부담한다고 하고 있을 뿐이다."
"이유","그 문언상 별개의 주택단지로 간주되는 위 일단의 토지에 반드시 주택이 포함되어 있을 것을 요구하고 있지 않다."
"이유","원심이 같은 취지에서 이 부분 원고의 청구를 받아들인 조치는 앞서 본 법리에 의한 것으로서 정당한 것으로 수긍이 가고, 거기에 상고이유의 주장과 같은 법리오해 등의 위법이 없다."
"이유","그렇다면 이 사건 원심판결의 피고 패소 부분 중, 전기간선시설의 지중설치 비용과 가공설치 비용의 차액에 관한 부분과 폭 20미터 미만의 도시계획예정도로에 의하여 구분된 단지까지의 전기시설 공사비 부분에 관한 피고 패소 부분을 파기하여 이 부분 사건을 다시 심리·판단하게 하기 위하여 원심법원으로 환송한다."
