"판결요지","노동조합의 조합원이 그 조합장이 조합비를 횡령하였다는 허위의 사실을 유포한 혐의로 제명처분을 받는 경우, 그 제명처분이 징계권을 남용하여 무효라고 본 사례."
"이유","이에 대하여 피고 조합은, 원고들이 조합장 위 소외 1이 조합비를 횡령하였다는 허위사실을 주장하며 조합장 및 부조합장의 불신임을 위한 임시총회를 요구하는 서명운동을 하였다."
"이유","그 통제권은 노동조합의 목적달성에 필요하고 또 합리적인 범위 내에 한정되어 진다고 할 것이므로 통제의 실효성을 보장하기 위한 징계권 또한 그 범위 내에서 행사되어야 한다는 한계를 가지는 것이다."
"이유","원고들은 1997. 7. 19.경부터 조합장 위 소외 1이 조합비로 핸드폰을 구입하였다거나 조합 여직원이 퇴직한 뒤에도 그 월급을 회사로부터 지급받아 횡령하였다고 주장하면서 조합장을 비롯한 조합임원들의 불신임을 위한 총회를 소집하여야 한다고 조합원들을 상대로 서명운동을 전개한 사실이다."
"이유","예정대로 열린 임시총회에서는 조합장 소외 1 등의 불신임안이 표결에 붙여져 불신임 찬성 48표, 반대 28표, 무효 3표로 출석인원 3분의 2 이상으로 되어 있는 의결정족수에 3표 모자라 불신임안이 부결된 사실이다."
"이유","그런데 원고들은 위와 같이 불신임안이 임시총회에서 가결되지 못한 이후에도 그 결과에 승복하지 아니하고 여전히 조합장의 사퇴를 주장하거나 조합장이 조합비 9,900,000원을 횡령하였다는 내용의 유인물을 배포하였고 조합장 소외 1을 횡령혐의로 고소하기에 이른 사실이다."
"이유","한편 수사기관에서는 위 고소에 대하여 무혐의결정을 하였고 이에 대하여 원고들은 항고한 상태인 사실을 인정할 수 있고 달리 반증이 없다."
"이유","위 인정 사실에 의하면, 위와 같이 원고들이 명확히 확인하지도 않고 마치 조합장 위 소외 1이 조합비를 횡령한 것처럼 조합원들에게 공개적으로 주장하여 조합장 소외 1의 명예를 훼손한 점이다."
"이유","특히 원고들이 주장하여 열린 임시총회에서 조합장 등의 불신임 결의가 부결되었으면 이에 승복하여 조합의 민주적 운영에 협조하여야 함에도 임시총회 후에도 여전히 조합장의 퇴진을 주장하는 등 규약에서 허용하는 적법한 절차에 의하지 아니한 방법으로 집행부의 교체를 꾀하는 분란을 일으킨 점이다."
"이유","그리하여 결과적으로 노동조합의 단결을 해쳐 피고 조합의 주장처럼 당면한 임금협상에 악영향을 끼친 점 등은 피고 조합 규약 제14조의1, 2, 3호와 제55조 제1항 제3호에 해당하여 조합의 통제권에 기한 징계권의 대상이 된다고 할 것이다."
"이유","한편 원고들은 피고 조합으로부터 징계를 받은 전력이 없고, 나아가 원고들이 피고 조합을 파괴하기 위하여 위와 같은 분란을 일으킨 것이라고까지는 인정할 수 없는 점이다."
"이유","노동조합이란 근로자들의 자주적인 조직체로서 원하는 자는 누구든지 그 조합원이 될 수 있어야 하고, 또 그 민주적 발전을 위해서는 서로 의견이 다르더라도 내부의 언론 및 비판의 자유를 폭넓게 인정하여 함께 공존하는 민주적 훈련이 필요하다는 점이다."
"이유","피고조합은 그 징계로서 경고, 정권, 제명의 3단계를 두고 있는 점 등을 감안하면, 원고들에게 앞서 본 바와 같은 잘못이 있다고 하더라도 이를 이유로 곧바로 가장 무거운 제명처분을 하는 것은 피고조합이 징계권을 행사함에 있어 그 한계를 일탈하여 징계권을 남용한 경우에 해당한다. "
"이유","그렇다면 원고들에 대한 위 1997. 9. 18.자 제명처분의 무효 확인을 구하는 원고들의 청구는 이유 있어 이를 인용하기로 한다."
