"판시사항","甲 법인과 乙 회사의 위치정보 또는 개인위치정보의 수집으로 인하여 丙 등에 대한 손해배상책임이 인정된다고 보기 어렵다고 한 사례"
"이유","피고 OOO은 위치정보시스템을 구축하고 사용자의 요청이 있을 경우 위치정보서비스를 제공하는데, 수많은 사용자로부터 이 사건 기기 자체의 위치정보를 지속해서 전송받아 축적, 비교함으로써 위치정보시스템의 정확도를 개선하였다."
"이유","피고 OOO이 2010. 6. 21. 출시한 OOO이 적용된 이 사건 기기에서 아래와 같은 버그가 발생하였다."
"이유","사용자가 위치서비스 기능을 “끔”으로 설정하였음에도 이 사건 기기의 위치정보와 주변 통신기지국 등의 식별정보가 피고 OOO의 서버에 주기적으로 전송됨으로써 이 사건 기기의 위치정보를 수집하였다."
"이유","사용자가 위치기반서비스 애플리케이션을 동작시킬 경우, 위치서비스 기능을 “켬”으로 전환하지 않더라도 이 사건 기기가 피고 OOO의 위치정보시스템에 실시간으로 접속하여 현재 위치정보를 계산한 뒤 기기 내 데이터베이스에 저장함으로써 사용자의 개인위치정보를 수집하였다."
"이유","이 사건 기기의 위치정보를 수집하는 버그는 피고 OOO이 2010. 9. 8. OOO을 배포하여 이 사건 기기에 적용될 때까지, 사용자의 개인위치정보를 수집하는 버그는 2011. 5. 4. OOO을 배포하여 이 사건 기기에 적용될 때까지 계속되었다."
"이유","위와 같은 사실관계를 앞서 본 법리에 비추어 살펴보면, 이 사건 위치정보 또는 개인위치정보의 수집으로 인하여 원고들에 대한 손해배상책임이 인정된다고 보기는 어렵다."
"이유","이 사건 기기로부터 전송되는 정보만으로는 해당 통신기지국 등의 식별정보나 공인 아이피만 알 수 있을 뿐, 특정 기기나 사용자가 누구인지를 알 수는 없다."
"이유","이 사건 기기 내 데이터베이스에 저장된 정보는 기기의 분실·도난·해킹 등이 발생하는 경우 외에는 외부로 유출될 가능성이 없다."
"이유","이는 위치기반서비스 기술의 개발 및 정착 단계에서 발생한 시행착오에 불과하고, 피고들이 이 사건 기기의 위치정보나 사용자의 개인위치정보를 침해하기 위한 목적으로 이루어진 것으로 보이지 않는다."
"이유","피고 OOO은 위 각 버그가 존재한다는 사실이 알려지자 신속하게 새로운 OOO를 개발하여 배포하는 등 그로 인한 피해 발생이나 확산을 막기 위한 노력을 기울였다."
"이유","수집된 위치정보나 개인위치정보는 위치정보시스템의 정확도를 높이기 위하여 사용되었을 뿐, 수집목적과 달리 이용되거나 제3자에게 유출된 것으로 보이지 않는다."
"이유","같은 취지에서 원고들에 대한 손해배상책임이 인정되지 않는다고 판단한 원심판단에 상고이유 주장과 같이 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 구 위치정보법의 손해배상에 관한 법리를 오해한 위법이 없다."
"이유","상고이유 제2점에 관하여 원심은 피고들이 사용자로부터 위치정보 수집 및 서비스 제공 이용약관과 위치정보 수집 및 제공에 관한 내용이 포함된 OOO 소프트웨어 사용권 계약에 대한 동의를 받았다."
"이유","이 부분 원심의 이유 설시에 일부 적절하지 않거나 미흡한 부분이 있으나, 피고들이 개인위치정보 수집에 관하여 사전동의를 받았다는 원심의 결론은 수긍할 수 있다."
"이유","거기에 논리와 경험의 법칙을 위반하여 자유심증주의의 한계를 벗어나거나 구 위치정보법 제18조의 동의에 관한 법리를 오해한 잘못이 없다."
"이유","그리고 상고이유 제2점 중 원고들의 동의 사실이 입증되지 않았다는 취지의 주장은 결국 사실심인 원심의 증거의 취사선택이나 사실인정을 탓하는 것으로서 적법한 상고이유로 볼 수 없다."
"이유","그러므로 상고를 모두 기각하고 상고비용은 패소자들이 부담하도록 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
