"판시사항","건물 등기의 지번 표시에 다소의 착오 또는 유루가 있으나 실체의 권리 관계를 공시함에 족한 근사성이 있다고 인정된 사례이다."
"이유"," 주장하고 피고들은 원고가 위와 같이 그의 소유라고 주장하는 위 102의8 지상의 건물은 소외 박도행이 경락하여 소유권을 취득한 위 102의1 지상 제1호 건물과 동일한 것이므로 위 건물은 원고의 소유가 아니고 위 박도행의 소유이므로 원고의 청구에 응할 수 없다고 다투므로 살펴본다."
"이유","앞에서 나온 갑제4호증, 을제1,2호증, 성립에 다툼이 없는 을 제2호증, 동제8호증, 동 제9호증, 갑 제9호증의 1,2,3,4,5 내지 8,9 내지 12, 13, 14, 15,16,17, 을 제4호증, 동 제5호증, 공성부분이 있으므로 문서전체의 진정성립이 추정되는 갑 제5호증, 원심증인 장극명의 증언에 의하여 진정성립이 인정된다."
"이유"," 갑 제1,6호증동 제2,7호증, 동 제8호증의 각 기재, 원심증인 장극명, 동 신태식, 원심 및 당심증인 박도행의 각 증언과 원심의 현장검증 및 원심감정인 최문식이 한 감정의 각 결과에 변론의 전취지를 종합하여 보다."
"이유"," 별지도면표시부분인 목조와즙 평가건 주택 1동 건평 28평 6홉 8작이 서있는 서울 용산구 후암동 102의 8 대 48평은 원래 일본인 소외 토비헌의 소유로서 귀속재산이던 동 동 102의1 대 1,109평 7홉에서 1956.9.24.자로 분할된여러필지중의 하나다."
"이유","소외 장종두가 1954.11.30. 국가로부터 위 분할된 후의 지번인 위 102의8 대 48평과 그 지상건물인 목조와즙 평가건 주택 1동 건평 14평 9홉 및 수목 20년생 2본을 대금 구화 금 214,000환으로 불하받음에 있어 당시는 대지가 분할되다. "
"이유","전이었으므로 불하목적물 표시를 동 동 102의 1 대 45평 7홉중 36평 8홉 36.8/45.7지분과 그 지상건물, 목조와즙평가건 1동 14평 9홉 및 수목 20년생 2본으로 한 매매계약을 체결하고 동 대금을 완납한다."
"이유","후 그 소유권이전등기를 함에는, 위 건물은 동 동 102의1 제1호 목조와즙 평가건 본가 1동 건평 14평 9홉에 대한 1655.6.17. 서울민사지방법원 용산등기소 접수 제2723호의 동월 1일자 매매를 원인으로 한 위 대지에 대한다."
"이유","당시 이미 대지분할이 된 후임에도 이를 102의8 대 48평으로 고쳐서 등기하지 아니하고 동 동 102의 1 대 45평 7홉중 36.8/45.7지분에 대한 1959.9.24. 동 등기소 접수 제12597호의 1955.6.1.자 매매를 원인으로 한 각 위 장종두명의 이다."
"이유","소유권이전등기를 잘못 불하받은 뒤에도 실제 자기가 불하 받은 목적물인 위 102의8 대지와 그 지상건물인 이건 건물에서 거주하여 오다가 그후 이를 1960.10.11. 소외 우수형에게 매도하였고 이에 대한 근저당권자인 소외 이석우의 근저당권의 실행으로 인한다. "
"이유","서울민사지방법원에서 경매절차가 진행된 결과 소외 박도행에게 1963.10.31.자로 경락되어 위 대지와 위 건물 모두에 대하여 위 박도행앞으로 소유권이전등기가 경료된 사실, 그런데 1955.7.26. 국가로부터 위 102의1 대 45평 7홉과 그 지상건물을 대금 구화 금 300,000환에 불하받아 1965.7.27.까지 대금을 완납하면서 동 대지를 점유한다."
"이유"," 그 지상건물에서 살아온 위 102의1 대지 및 그 지상건물의 진정한 매수자들인 소외 신태식등 진한규에 의하여 위 장종두, 동 우수형 및 동 박도행등을 피고들로 하여 서울민사지방법원에 원인무효를 이유로 한다."
"이유","위 102의1 대 45평 7홉중 36.8/45.7지분소유권이전등기의 말소등기절차 이행의 소가 제기되어 1971.2.24. 동 신태식, 동 진한규의 승소판결이 선고되고 동 판결은 그 시경 확정되어 결국 위 102의1 대지중 위 소외인들앞으로 순차 경료되었던 위36.8/45.7지분소유권이전등기는 각 말소된 사실, 이다."
"이유","그 결과 위 장종두가 불하받은 대지의 위치는 위 102의 1이 아닌 위 102의 8이고 그 지적은 36평 8홉이 아니라 실측에 따라 48평이라는 내용으로 정정 확정된다."
"이유","매수인도 위 장종두의 재산상속인인 위 임봉순으로 명의변경되어 동 임봉순은 위 장종두가 납부하지 못한 위 11평 2홉에 대한 불하대금 548,800원을 1972.5.23. 추가로 납부하고 위 102의8 대 48평에 대한 소유권이전등기를 경료한 사실이다."
"이유"," 그러나 위 장종두등이 거주하여온 위 102의8 지상의 건평 14평 9홉의 이건 건물은 위에서 본 바와 같이 등기부에는 위 102의1 지상 제1호 건평 14평 9홉의 건물로 하여 소유권이전등기가 이미 위 장종두명의를 거쳐 현재 위 박도행명의로 경료되어 있었다."
"이유","위 임봉순이가 국가로부터 위 대지에 대한 명의변경, 위치 및 지적의 시정을 하여 받을 때에도 위 건물에 대하여는 이러한 시정을 하여 받지 못하였다."
"이유"," 위 건물은 위 신태식이 위102의1 지상에 신축하여 등기한 동인명의의 건물과도 별개의 건물로 구분되기 때문에 이건 건물이 위 102의1 지상의 건물등기부에서 말소되지 아니한 채 그대로 남아있는 사실이다."
"이유","위 임봉순은 위 102의 8 대지 및 지상건물을 1972.12.27. 소외 최창옥에게 매도한 것을 원고가 1973.5.30. 다시 금1,500,000원에 매수하여 그 대금을 모두 지급한 후 대지에 관하여는 앞에서 본바와 같이 소유권이전등기를 경료하여 받았다."
"이유","건물에 대하여는 이미 위 102의1지상 제1호 건물로서 앞에서 본바와 같이 위 박도행명의로 소유권이전등기가 되어 있어 원고앞으로 이전등기절차를 하여 받지 못한채 분쟁만 계속하고 잇는 사실, 피고들이 이건 건물을 청구취지 기재와 같이 각자 해당부분을 점유하고 있는 사실을 각 인정할 수 있고 반증없다."
"이유","위의 인정사실을 종합하여 보면 위 장종두가 국가로부터 위 102의 8 대지 및 그 지상건물인 이건 건물을 불하받을 당시에는 대지가 분할되지 않았기 때문에 분할전의 같은 지번인 위 102의 1 대지 및 그 지상건물로 표시하여 매매계약을 체결한 것인바이다"
"이유","대금을 완납후에 위 장종두가 불하받은 대지를 등기함에는 위 102의1 대지에서 당시 분할된 위 102의8 대 48평으로 고쳐서 소유권이전등기를 경료하여야 함에도 그대로 분할전의 위 102의1 지번으로 등기를 하였다."
"이유"," 또 이건 건물에 대하여는 대지분할 되기전에 이미 102의 1 지상 제1호 건물로 하여 위 장종두명의의 소유권이전등기를 하여 놓았다 하더라도 이건 건물에 관한 이와 같은 등기는 등기의 지번표시에 다소의 착오 또는 유루가 있었다."
"이유","그것이 실체의 권리 관계를 공시함에 있어서는 충분할 정도로 사실과 사이에서 근사성이 있는 경우에 해당된다할 것이다."
"이유","그 후에도 동 지번을 분할후의 위 102의 8대지 지번에 일치하도록 경정등기를 하였어야 함에도 이를 경정한 바 없음을 알 수가 있다."
"이유","그렇다면 위 장종두가 불하받은 건물이 비록 그위치가 위102의1 지상 제1호 건물로 등기되어있다 하더라도 이는 원고가 주장하는 위102의 8지상의 이건 건물과는 별개의 건물 이라고 볼 수 없고 지번의 경정등기에 의하여 쉽게 등기부의 위치를 고칠 수있는 등기상의 표시와 실체의 권리관계에 부합되는 것으로서이다."
"이유"," 동일한 건물이라 할 것이니 이건 건물에 대하여 경락에 의하여 소유권이전을 받은 위 박도행명의의 등기는 유효하다할 것이어서 이건 건물은 다른 특별한 사정이 없는한 박도행의 소유로 추정된다 할 것인바 원고가 이건 건물의 소유권이 자기에게 있다. "
"이유","위 주장은 이유없고 따라서 소유권에 기하여 피고들에게 그 각 점유부분의 명도를 구하는 원고의 이건 주위적 청구부분은 이유없다할 것이다."
"이유","원고는 위102의 1지상 제1호 건물과 위102의 8 지상의 이건 건물이 동일한 건물이라면 건물소유자인 위 박도행과 대지소유자인 원고간에는 아무런 계약관계도 없으니 원고는 위 박도행에 대하여 건물철거를 구할 수 있으므로 원고의 위 대지를 무단사용중인 피고들에 대하여 각 그점유부분에서 퇴거할 것을 구한다. "
"이유","주장하고 피고들은 위 박도행의 경매로 인하여 이건 건물을 취득하게 되었으나 원고 소유의 대지에 대한다. "
"이유","법정지상권을 취득하였으므로 위 박도행으로부터 이건 건물을 정당하게 임대받아 사용중인 피고들에 대한 이건 퇴거청구는 부당하다고 다투므로 살피건대,위에서 인정한 사실에 의하면 위102의8대지와 그 지상의 이건 건물은 모두 위102의1 대지 지상건물로 잘못 등기된채 원래 위 장종두 소유로 있다가 이를 위 박도행이 경락한다."
"이유","그 소유권이전등기를 경료 받았으나 위 신태식, 동 진한규가 제소한 소유권이전등기말소등기절차이행소송의 확정판결에 의하여 위 102의1 대지에 대한 위 장종두, 동 박도행등명의의 소유권이전등기가 말소되었다. "
"이유","또 위 임봉순이 국가로부터 위 대지에 대한 명의변경, 위치 및 지적의 시정을 받음으로써 위 102의8 대지의 소유권은 전전되어 원고에게 귀속되었음을 알 수 있으니 그렇다면 이건 대지와 건물은 동일한 사람에게 귀속되었다."
"이유","가 그 소유권이 각각 다르게 된 경우에 해당되어 이건 건물의 소유자인 위 박도행은 지상권에 관한 등기를 설정하여 받지 아니하였다 하더라도 위 대지에 대한 법정지상권을 설정받은 지상권자라 할 것이다."
"이유","원심 및 당심증인 박도행의 증언에 의하면 피고들은 이건 건물의 각 해당 점유부분을 위 박도행으로부터 정당하게 임대받아 점유, 사용하고 있는 사실을 인정할 수 있고 반증없으므로 원고의 이건 예비적 청구부분도 이유없다."
"이유","그렇다면 원고의 주위적 청구 및 예비적 청구는 모두 이유없어 기각할 것인바 이와 결론을 달리한 원판결은 부당하고 피고들의 항소는 이유있어 이를 받아들여 이를 취소하여 원고의 위 청구를 모두 기각한다."
"이유","소송 비용의 부담에 대하여는민사소송법  제 96 조 93 조 89 조를 각 적용하여 주문과 같이 판결한다."
