"판시사항","소유권이전등기의 추정력이 전 소유자에 대하여도 미치는지 여부 및 등기명의자가 등기 원인 행위의 태양이나 과정을 다소 다르게 주장한다고 하여 그 추정력이 깨어지는지 여부"
"이유","이러한 경우에도 이를 다투는 측에서 등기명의자의 소유권 이전 등기가 전 등기명의인의 의사에 반하여 이루어진 것으로서 무효라는 주장·입증을 하여야 한다고 할 것이다."
"이유","소외 1의 진술을 제외한 나머지 증거들은 모두 소외 1로부터 들어서 안다는 취지에 불과하므로 결국 이 점을 증명할 만한 직접 증거는 결국         소외 1의 진술밖에 없는 셈이 된다."
"이유","소외 1로서는 설사 그 주장과 같이 인감 증명 발급 신청서의 용도란과 매수자란을 피고가 대신 기재해 주었다 하더라도 자신이 발급 받은 인감 증명의 용도가 부동산 매도용인지 몰랐다고 보기는 어렵다."
"이유","제 1심에서는 그에 덧붙여 ""피고가 식도를 신문지에 싸 가지고 와서 위협하는 바람에 할 수 없이 인감 증명을 발급 받아 주었다.""고 증언하고 있는 바이다."
"이유","만약 그것이 사실이라면 소외 1은 당시에 이미 자신의 인감증명이 이 사건 토지를 피고 앞으로 넘겨주는 데 사용될 것임을 알았다고 보아야 할 것이므로 인감증명의 용도가 부동산 매도용인지 몰랐다는 소외 1의 진술은 이 점에 있어서도 벌써 믿기 어렵다고 할 것이다."
"이유","이 점 또한 이 사건 이전 등기가 소외 1의 의사에 반하여 경료 된 것이 아니라는 점을 반증 하는 유력한 자료가 된다고 할 것이다."
"이유","그렇다면 소외 1 자신이 발급 받아 교부 한 인감 증명서에 의하여 경료 된 이 사건 등기를 이와 같이 신빙성이 의심스러운 소외 1의 진술만 가지고 그의 의사에 반하여 경료 된 것이라고 단정할 수는 없다고 할 것이다."
"이유","피고가 그 이후의 나머지 절차를 자기 마음대로 일방적으로 처리하여 이 사건 토지에 관하여 이 사건 이전 등기를 경료해버렸다.""고 인정 한다."
"이유","나아가 그 인정 사실과 그 판시의 나머지 사정 즉, 명의 신탁자가 누구 인지에 관한 피고 주장의 일관성 결여, 피고 측의 매수·양수 과정에 관한 주장을 인정할 증거가 없는 점이다."
"이유","원심은 이 점에 있어서 등기의 추정력에 관한 법리를 오해하였거나 채증 법칙에 위배하여 판결 결과에 영향을 미친 위법을 저질렀다고 아니할 수 없다."
"이유","그리고 직접 이 사건 이전등기신청서류를 작성하였다는 사법 서사 사무소의 사무 원인 ▷▷▷ 등은 소외 1이 사법 서사 사무소까지 가서 이 사건 이전 등기 신청을 직접 위임하였다고 진술하고 있는 바이다."
"이유","이들의 진술은 소외 1이 이 사건 이전 등기의 신청을 사법서사에게 직접 위임한 것으로 되어 있는 을 제1호증의 3의 기재에도 부합되므로 특별한 사정이 없는 한 이 또한 쉽게 배척할 수 없을 것임에도 불구 하다."
"이유","원심은 아무런 합리적인 이유도 설시하지 않은 채 함부로 이를 배척하고 있으니 원심은 이 점에 있어서도 채증 법칙 위배의 위법을 저질렀다는 비난을 면하기 어렵다고 할 것이다."
"이유","그러므로 나머지 상고 이유에 대한 판단을 생략한 채 원심 판결을 파기하고, 사건을 다시 심리·판단케 하기 위하여 원심 법원에 환송하기로 관여 법관의 의견이 일치 되어 주문과 같이 판결한다."
