"판시사항","주택에 대해 임차인이 주택의 인도, 주민등록 및 확정일자 부여의 3가지 요건을 모두 갖춘 날과 근저당권 설정일이 같을 경우, 배당절차에서의 배당 순위"
"이유","위 법 제3조의2 제1항은, 주택임차인이 위 제3조 제1항에서 규정하고 있는 대항 요건과 임대차계약증서에 확정일자를 갖추면 임차주택에 관한 경매절차 등에서 부동산 담보권에 유사하게 후순위 권리자 기타 일반 채권자보다 우선하여 보증금을 변제받을 권리가 있다는 의미로 해석된다."
"이유","여기서 우선변제권 발생의 요건으로 주택임대차계약증서상의 확정일자를 갖추도록 규정한 것은 임대인과 임차인이 사후에 보증금액에 관한 담합으로 다른 권리자를 해하는 것을 막고자 함에 그 주된 목적이 있는 것으로서 이는 소극적 측면에서 공시의 기능을 하고 있다 할 것이다."
"이유","앞에서 본 바와 같이, 위 법 제3조의2 제1항은 법문상 ""제3조 제1항의 '대항 요건'과 확정일자를 갖춘 임차인은 우선하여 보증금을 변제받을 권리가 있다.""라고 규정하고 있을 뿐 제3조 제1항의 '대항력'과 확정일자를 갖출 것을 요건으로 규정하고 있지 않은 점이다."
"이유","위 법 제3조의2 제1항에 규정된 주택임차인의 우선변제권은, 임차인이 임차주택의 양수인 등 제3자에 대하여 임대차의 존속을 주장하여 이를 계속 사용할 수 있는 권리가 아니라 단지 임차주택 및 그 대지에 관한 경매절차 등에서 후순위 권리자에 앞서 임대차보증금을 반환받을 수 있는 권리에 불과하다."
"이유","임대차에 있어서 그 핵심은 임차물건을 점유·사용할 수 있는 권리이고 임대차보증금 약정은 그에 부수한 약정이라 할 것이다."
"이유","위 두 권리를 임대차의 본질적인 측면에서 비교하면, 위 우선변제권은 위 대항력보다 더 약한 권리라 할 것이다."
"이유","우선 이 사건에서와 같이, 주택임차인이 주택을 인도받은 후 같은 날짜에 주민등록 및 확정일자를 갖춘 경우 우선변제권을 취득하는 시점이, 주택의 인도와 주민등록, 임대차계약증서상의 확정일자 부여라는 3가지 요건만 충족하면 그 즉시인지 아니면 대항력을 갖게 되는 주민등록을 마친 다음날이 되는지를 살펴본다."
"이유","우선변제권은 임차주택 및 그 대지에 관한 경매절차 등에서 후순위 권리자에 앞서 임대차보증금을 반환받을 수 있는 권리로서 그 내용과 성격을 달리 하고 있는 점이다."
"이유","위 법 제8조 소정의 소액임차인은 비록 대항력은 없더라도 일정한 금액 범위 내에서 우선변제권을 행사할 수 있음을 규정하고 있으므로 위 법에서는 우선변제권의 전제로 대항력을 갖추어야 하는 것으로 보고 있지 않은 점이다."
"이유","따라서 주택의 인도 후 주민등록 및 확정일자 부여가 같은 날에 이루어진 경우 우선변제권을 취득하는 시점은 주민등록을 한 그 다음날이 아니라 주택의 인도와 주민임대차계약증서상의 확정일자 부여라는 3가지 요건을 모두 충족한 그 시점이라 할 것이다."
"이유","이 사건에서 원고 명의의 근저당권설정등기가 마쳐진 시점이 피고가 전입신고 및 확정일자를 갖춘 시점보다 앞선다고 인정할 아무런 증거가 없는 이상 같은 날에 이루어진 원고 명의의 근저당권설정등기와 피고의 임차권은 배당절차에 있어서는 같은 순위로 보아야 할 것이다."
"이유","따라서 서울지방법원이 피고와 원고를 같은 순위 권리자로 보고 실제 배당할 금액 금 78,309,304원 중 금 39,120,480원을 원고에게, 금 39,188,824원을 피고에게 각 배당하였음은 정당하다 할 것이다."
"이유","그렇다면 원고가 위 배당절차에서 피고보다 앞 순위임을 전제로 한 원고의 이 인사건 청구는 이유 없어 이를 기각하여야 할 것인 바이다."
"이유","이와 결론을 달리한 원심판결은 부당하므로 이를 취소하고 원고의 이 사건 청구를 기각하기로 하여 주문과 같이 판결한다."
