"판시사항","집합건물의 하자보수에 갈음한 손해배상청구권의 소멸시효기간의 기산일 보증기간을 10년으로 한 공동주택의 내력구조부에 대한 의무하자보수보증계약에 있어 보증대상의 범위"
"이유","원심판결 이유를 기록에 비추어 살펴보면, 원심의 책임감경사유에 관한 사실인정이나 그 비율판단은 수긍할 수 있는 범위 내로서 형평의 원칙에 비추어 현저히 불합리하다고 볼 수 없으므로, 이 점에 관한 상고이유의 주장은 받아들일 수 없다."
"이유","원심판결 이유에 의하면, 원심은 제1심판결이 인용한 금액으로서 원고의 청구취지 감축에 따라 줄어든 지연손해금 부분을 제외한 나머지 부분을 그대로 유지하면서, 위 피고가 제1심판결 선고일까지만 항쟁함이 상당하다고 판단하여, 그 인용금액에 대하여 제1심판결 선고일 다음 날부터 연 20%의 비율에 의한 지연손해금의 지급을 명하였다."
"이유","거기에 상고이유에서 주장하는 바와 같이 촉법 제3조 제2항의 적용범위에 관한 법리오해 등의 위법이 있다고 할 수 없다."
"이유","구 주택건설촉진법 시행령 제43조의5 제1항 제1호 (가)목에서는, 주택사업공제조합이 행할 수 있는 하자보수보증을 의무하자보수보증과 장기하자보수보증으로 구분한다."
"이유","구 공동주택관리령 제16조’의 규정에 의한 하자보수의무기간 중 발생한 하자의 보수에 대한 보증이라고 규정하고 있을 뿐이다."
"이유","구 공동주택관리령 제16조의2의 규정에 의한 하자의 보수에 대한 보증으로 되어 있지 아니하고, 구 공동주택관리령 제16조와 그에 따른 시행규칙에서는 보증기간을 10년 내지 5년이라고만 규정하고 있을 뿐이다."
"이유","보증기간을 10년으로 하여 이루어진 공제조합의 의무하자보수보증의 보증대상은 결국 내력구조부에 발생한 모든 하자라고 봄이 상당하다 하겠다."
"이유","비록 하자보수의무에 관한구 주택건설촉진법 제38조 제14항 내지 제16항,구 공동주택관리령 제16조의2에서 주택건설사업주체는 공동주택의 하자를 보수할 책임이 있다."
"이유","그와 같은 규정을 둔 취지는 내력구조부의 결함과 같은 중대한 하자에 대하여는 그 위험성과 중요성에 비추어 특히, 가중책임을 지게 하려는 것이지, 내력구조부에 대해서는 공동주택이 무너지거나 무너질 우려가 있는 경우와 같은 중대한 하자에 대해서만 보증책임을 부담하는 것으로 제한하려는 취지는 아니라고 해석된다."
"이유","원심의 설시에 다소 적절치 않은 점은 있으나 위 피고의 보증책임이 내력구조부에 발생한 모든 하자를 대상으로 한다고 판단한 결론에 있어서는 정당하다."
"이유","상고이유는 이 사건 아파트의 하자보수 및 담보책임에 관하여 개정 주택법 규정만이 적용된다는 전제 하에 원심 판결을 탓하는 것에 불과하여 받아들일 수 없다."
"이유","구 주택건설촉진법은 제47조의12 제2항에서 ‘보증채권자가 하자보수보증계약에 따라 가지는 보증금에 관한 권리에 대하여 보증기간 만료일부터 5년간 행사하지 아니하면 시효로 인하여 소멸한다’는 규정을 두고 있다가, 1999. 2. 8. 법률 제5908호로 개정되면서 이 사건 규정이 삭제된다."
"이유","그 개정 법률은 같은 해 3. 1.부터 시행되었으므로, 이 사건 규정을 두고 있던 구 주택건설촉진법이 시행·적용되던 1999. 2. 28.까지 발생한 보증금 채권의 소멸시효 기간은 이 사건 규정에 따라 보증기간 만료일부터 5년간이라고 보아야 한다."
"이유","그리고 사업주체가 공동주택의 사용검사권자에게 사용검사신청서를 제출하면서 주택사업공제조합으로부터 하자보수보증서를 발급받아 이를 예치한 경우, 그 하자보수보증서에 의하여 보증대상이 되는 하자의 보수책임기간도 사용검사일로부터 왜냐하면 보증인인 주택사업공제조합의 채무범위가 주채무자인 사업주체의 채무범위를 넘을 수는 없기 때문이다."
"이유","구 공동주택관리령 제16조 및 그에 따른 구 공동주택관리규칙 제11조 제1항 에 규정된 바와 같이, 중대한 하자인지를 묻지 않고 5년 또는 10년이라고 봄이 상당하다."
"이유","원심판결 이유에 의하면, 원심은 위 피고에 대한 채권에 관하여 5년의 상사 소멸시효가 아니라 민법 제162조 제1항에 따라 10년의 소멸시효가 적용된다."
"이유","위 피고의 소멸시효 항변을 받아들일 수 없다고 판단하는 한편, 나아가 설령 위 채권이 상사채권에 해당하여 소멸시효기간을 5년으로 본다고 하더라도 원고는 그 기간이 경과하기 전에 이 사건 소를 제기한 것이라고 판단하여 위 피고의 소멸시효 항변을 배척하였다."
"이유","원심의 설시에 적절치 않은 점은 있으나, 이 부분 보증채권에 대한 소멸시효기간 및 기산일을 위와 같이 판단한 결론에 있어서는 정당하다."
"이유","그러나 이 사건 규정이 삭제된 개정 법률이 시행된 1999. 3. 1. 이후에 발생한 보증채권의 경우에는 이 사건 규정에 따라 소멸시효기간 및 기산일을 정할 수는 없으므로 일반원칙에 따라 소멸시효기간 및 기산일을 정하여야 할 것이다."
"이유","1999. 3. 1. 이후에 발생한 보증채권은, 특별한 사정이 없는 한, 그 채권을 행사할 수 있는 때부터 5년간 권리를 행사하지 아니하면 시효로 소멸한다고 보아야 한다."
"이유","위와 같이 그 중 1999. 3. 1. 이후에 발생한 보증채권 부분에 한하여 파기사유가 있으나, 원심은 5년차 하자와 10년차 하자를 구분하지 않다."
"이유","또한 보증채권의 발생일이 언제인지를 확정하지도 아니한 채, 그 판시와 같은 공구별로 하자보수의 총괄비용을 산정하고 있으므로, 원심판결 중 위 피고의 패소부분 전부를 파기하기로 한다."
"이유","이 부분 상고이유의 주장은 피고 OOO 및 OOO에 대한 판단에서 이미 본 바와 같이 모두 받아들일 수 없다."
"이유","그러므로 원심판결 중 피고 OOO, OOO에 대한 부분 및 피고 대한주택보증의 패소부분을 파기하고, 그 부분 사건을 대전고등법원으로 환송하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
