"판시사항","원래 어업권원부가 없는 어장의 경우에 있어서도 구 수산업법 시행 후의 관행어업권을 인정받기 위해서는 어업권원부의 등록이 필요한지 여부"
"이유","어업권원부에 입어자로 등록하지 아니한 상태로 2년을 경과하면 그 때 비로소 개정 수산업법에 의한 관행어업권자로 인정될 여지가 더 이상 없게 되어 그 권리가 소멸된다고 할 것이다."
"이유","원고들이 개정 수산업법 시행 이전부터 이 사건 어장에서 구 수산업법 제40조의 규정에 의한 관행어업을 하여 온 관행어업권자임에도 그 관행어업권이 위 2년의 유예기간의 경과로 소멸되기 전에 이 사건 공유수면매립공사가 착공·시행됨으로써 원고들이 실질적이고 현실적인 피해를 입게 되었음이 인정되어야 할 것이다."
"이유","앞에서 본 바와 같이 구 수산업법상의 관행어업권이 성립하기 위하여는 당해 어업장에서 오랫동안 계속하여 수산동식물을 포획·채취함으로써 그것이 대다수 사람들에게 일반적으로 시인될 정도에 이른 것이어야 한다."
"이유","또한 이러한 관행어업권은 원칙적으로 독립세대별로 인정되고 차남 이하 분가자나 외지로부터의 전입자에 대하여는 일정한 기간이 경과되어야 인정되며, 이 경우에도 그러한 어업을 계속할 수 있는 노동능력과 의사를 가진 자로서 20세부터 60세가 될 때까지의 자에 대하여만 인정된다고 할 것이다."
"이유","위에서 본 바와 같이 관행어업권이란 당해 공동 어업장에서 오랫동안 계속하여 관행에 따라 수산동식물을 포획·채취하여 온 자에게 인정되는 물권적 효력을 갖는 권리로서 그러한 입어의 관행이 인정되기 위해서는 단순히 그것이 상당한 기간 동안 행하여져 왔다는 것만으로는 부족하다."
"이유","일정한 요건을 갖춤으로써 그 어장에 출입하면서 수산동식물을 포획·채취하는 것이 주위 대다수 사람들에게 시인될 것이 요구된다 할 것이다."
"이유","위와 같은 신고필증의 교부가 그 기재 내용의 사실 여부에 관한 조사를 전제로 하는 것이 아닐 뿐만 아니라 이 사건 공유수면매립공사가 시작될 무렵에야 집중적으로 발급된 점 등에 비추어 볼 때 선뜻 그 내용대로의 사실관계를 인정하기가 어렵다."
"이유","주민등록초본 및 등본의 각 기재는, 원고들이 이 사건 사업구역 안에 거주하여 왔다는 내용에 불과하여 원고들의 관행어업권을 인정할 만한 증거로 삼기 어렵다."
"이유","그 내용을 보면 위 연구조사는 관행어업권자에 대한 구체적인 대상을 확정하지 아니한 채 이 사건 사업구역 내에서 1991. 10. 22. 이전에 맨손어업 신고필증을 교부받아 맨손어업을 행하는 어업자를 조사범위로 하고 있다."
"이유","연간 어업생산량 등을 조사함에 있어서도 어촌계나 수협을 통한 위탁판매실적 등에 관한 객관적인 자료가 없어 어장별 현존량 조사를 통한 연간 어업생산량 추정이론에 따라 산정하고 있는 바이다."
"이유","원심에서의 부경대학교 수산과학연구소에 대한 감정촉탁결과 및 당심에서의 위 수산과학연구소에 대한 감정보완촉탁결과는, 그 조사방법에 있어, 원고들의 관행어업 종사 여부에 관하여는, 당해 지역의 취업 및 소득구조를 각종 통계자료를 통해 살펴봄으로써 관행어업에 대한 경제적 의존도를 분석한다."
"이유","당해 지역의 수산단체와 행정관청을 방문하여 그러한 사실을 청취 조사하였으며, 어장으로부터 원격지에 위치한 부락에 거주하는 원고들을 중심으로 가정을 방문하여 관행어업에 사용되었던 각종 어구 등의 흔적을 찾아냄으로써 관행어업에 종사하였던 사실을 확인하였다는 것이다."
"이유","관행어장의 이용실태에 관하여는, 일부 어민들로부터 청취 조사한 내용과 원고들에 대한 설문조사 및 청취조사 내용을 종합하여 파악하였다는 것이며, 관행어업 어장의 생물학적 상태에 관하여는, 위 군산대학교 해양개발연구소의 연구조사 결과를 그대로 원용하였다는 것인 바이다."
"이유","그 밖에 갑 제1102호증의 1 내지 29, 31 내지 67, 갑 제1114호증의 1 내지 15의 각 기재와 원심 증인 소외 1, 소외 2, 소외 3, 소외 4의 각 증언 또한 원고들이 관행어업권자임을 인정할 증거로 삼기에는 부족한 것들이다."
"이유","결국, 위 각 증거들만으로는 원고들이 이 사건 어장에서 바지락, 동죽 등을 채포하는 어업을 오랫동안 계속함으로써 그것이 대다수 사람들에게 일반적으로 시인될 정도에 이르러 입어의 관행에 따른 이른바 관행어업권이 성립되었다고 인정하기에 부족하다."
"이유","그 밖에 이에 부합하는 별지 제2목록 제2항 기재 각 증거의 각 기재와 원심 증인 소외 5의 증언은 믿지 아니하며, 달리 이를 인정할 만한 아무런 증거가 없다."
"이유","이 사건의 경우, 위 기초 사실에서 본 바와 같이 이 사건 어장의 이용에 관하여 대내외적으로 사실상 아무런 제한이 없었을 뿐만 아니라 원고들이 이 사건 어장에서의 제3자의 어업행위를 배제할 수 있었다는 등의 사정도 엿보이지 아니한다."
"이유","그 밖에 원고들의 구체적인 입어기간이나 어획물의 거래실적 등을 인정할 만한 아무런 증거가 없는 이상, 원고들이 이 사건 어장에 입어하여 바지락, 동죽 등 수산동식물을 포획·채취하여 왔다는 사실만으로 원고들을 구 수산업법 제40조의 규정에 의한 관행어업을 하여 온 관행어업권자라고 인정하기는 어렵다 할 것이다."
"이유","따라서 원고들이 이 사건 어장에서 구 수산업법 제40조의 규정에 의한 관행어업을 하여온 관행어업권자임을 전제로 한 원고들의 위 주장은 이유 없다."
"이유","피고의 행위가 불법행위를 구성하기 위하여는 원고들의 관행어업권이 2년의 유예기간의 경과로 소멸되기 전에 이 사건 공유수면매립공사가 착공·시행됨으로써 원고들이 실질적이고 현실적인 피해를 입게 되었음이 인정되어야 할 것이다."
"이유","위 증거들만으로는 1993. 2. 1. 이전에 이 사건 어장의 기능이 손상되거나 상실됨으로써 원고들이 실질적이고 현실적인 피해를 입었다고 단정하기는 어렵고, 달리 이를 인정할 만한 증거가 없다."
"이유","오히려, 위 제1공구 공사가 시작된 후 1992년 말까지 사이에 연장 33km의 새만금방조제 중 위 제1공구 방조제의 1.8km 부분만이 시행되었다."
"이유","그 후 1994. 7. 25. 무렵에 이르러 위 제1, 3공구 방조제의 사석제 끝막이공사가 시행된 사실은 앞에서 본 바와 같다."
"이유","이 사건 어장의 수산물 어획량은 1990년과 비교하여 1992년 및 1993년의 각 어획량에 큰 변화가 없는 사실, 현재까지 위 방조제가 완공되지 아니한 관계로 이 사건 어장 중 일부에서는 맨손어업이 게속되고 있는 사실을 인정할 수 있는 바이다."
"이유","위 인정 사실에 비추어 보면, 위 1993. 2. 1. 이전에 이 사건 공유수면매립공사로 인하여 이 사건 어장의 기능이 손상되거나 상실되는 등의 이유로 원고들이 실질적이고 현실적인 피해를 입었다고 보기는 어렵다."
"이유","따라서 가사 원고들의 관행어업권이 인정된다고 하더라도, 이 사건 공유수면매립공사의 착공·시행에도 불구하고 원고들이 실질적이고 현실적인 피해를 입지 않은 상태에서 위 2년의 유예기간이 경과한 이상 위 관행어업권은 소멸하였다고 할 것이므로, 이 점에 있어서도 원고들의 위 손해배상청구는 이유 없다."
"이유","피고가 원고들에게 손실보상을 할 의무가 있음에도 불구하고 이를 이행하지 아니한 채 이 사건 공유수면매립공사를 시행함으로써 원고들에게 손해를 입혔으므로 그 손실보상금 상당액을 배상할 의무가 있다고 주장한다."
"이유","이에 대하여 피고는, 원고들은 이 사건 사업구역 내 지선에서의 맨손어업에 관하여 개정 수산업법 제44조 소정의 적법한 어업신고를 한 바 없으므로 원고들의 위 주장은 이유 없다고 다툰다."
"이유","그런데 적법하게 어업의 신고를 하고 공유수면매립사업지구 내에서 신고한 어업에 종사하고 있던 어민들에 대하여 손실보상을 할 의무가 있는 사업시행자가 손실보상의무를 이행하지 아니한 채 공유수면매립공사를 시행함으로써 실질적이고 현실적인 침해를 가하였다면 이는 불법행위를 구성한다고 할 것이다."
"이유","개정 수산업법 제44조 소정의 어업의 신고는 행정청의 수리에 의하여 비로소 그 효과가 발생하는 이른바 '수리를 요하는 신고'라고 할 것인 바이다."
"이유","따라서 이 사건 사업구역 내 지선에 관하여 개정 수산업법 제44조 소정의 적법한 어업신고가 있음을 전제로 한 원고들의 위 주장은 나머지 점에 관하여 더 나아가 살필 필요없이 이유 없다."
"이유","피고가 위 맨손어업자들에게 위 보상액을 지급하기로 약정하였다는 등의 사정이 있음을 인정할 만한 아무런 증거가 없으므로 원고들의 위 주장은 이유 없다."
"이유","위 기초 사실에서 본 바와 같이, 피고는 새만금사업의 시행과 관련하여 위 구 공유수면매립법 제16조 소정의 권리자 및 이 사건 사업구역 내 지선에서 조업하는 적법한 허가·신고어업에 대하여 보상계획을 마련하고 순차적으로 예산을 확보하여 어민들을 분류하여 보상을 실시해 왔다."
"이유","다만 원고들을 포함하여 손실보상대상자라고 주장하는 일부 어민들에 대하여만 손실보상대상자에 해당하는지 여부가 불분명하여 이를 그 손실보상대상에서 제외하였을 뿐임을 알 수 있는 바이다."
"이유","피고가 관계 법령 등에 정해진 보상요건을 충족시키지 못하는 주민들에게 보상을 하였다 하더라도 이는 피고 스스로가 자신의 부담하에 임의로 보상을 실시한 것에 불과하다."
"이유","그러한 점만 가지고는 앞서 본 바와 같이 위 구 공유수면매립법 제16조 소정의 권리자, 또는 개정 수산업법 제44조 소정의 적법한 어업신고를 마친 맨손어업자라고 볼 수 없는 원고들에게 손해배상청구권이 생긴다고는 할 수 없으므로, 원고들의 위 주장은 받아들이지 아니한다."
"이유","그렇다면 원고들의 피고에 대한 이 사건 청구는 이유 없어 이를 기각하여야 할 것인바, 원심판결 중 원고들에 대한 부분은 이와 결론을 같이하여 정당하므로 원고들의 항소를 기각하기로 하여 주문과 같이 판결한다."
